epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3278.57,0.48745,0.56045,0.97794,0.95521,0.80341,0.86258,0.76105,0.56113,0.35374,0.98099,0.002179,0.002179,0.002179
81,3317.18,0.48197,0.55322,0.98333,0.95573,0.80564,0.86502,0.7643,0.56456,0.35371,0.98519,0.00208,0.00208,0.00208
82,3356.78,0.48338,0.53835,0.98369,0.94089,0.80997,0.86506,0.7625,0.56007,0.35458,0.98801,0.001981,0.001981,0.001981
83,3395.17,0.4817,0.54239,0.98546,0.95073,0.80447,0.86523,0.76156,nan,nan,nan,0.001882,0.001882,0.001882
84,3433.61,0.48372,0.53764,0.97679,0.96668,0.79544,0.86467,0.7632,0.55611,0.35164,0.9769,0.001783,0.001783,0.001783
85,3472.26,0.47686,0.53443,0.97661,0.96634,0.79829,0.86357,0.76346,0.55401,0.34573,0.97962,0.001684,0.001684,0.001684
86,3510.83,0.47106,0.52311,0.98002,0.96498,0.79782,0.86165,0.76501,0.54893,0.3501,0.97594,0.001585,0.001585,0.001585
87,3550.15,0.4686,0.51578,0.97525,0.97003,0.80184,0.86438,0.76306,0.554,0.3489,0.97983,0.001486,0.001486,0.001486
88,3588.79,0.47059,0.52198,0.97235,0.96246,0.80697,0.86478,0.76342,0.55858,0.34864,0.98716,0.001387,0.001387,0.001387
89,3627.37,0.47524,0.52333,0.97257,0.96459,0.80702,0.86366,0.76396,0.5482,0.34515,0.97596,0.001288,0.001288,0.001288
90,3666.05,0.47237,0.51051,0.97013,0.96096,0.80535,0.86359,0.76313,0.54565,0.34923,0.97509,0.001189,0.001189,0.001189
91,3728.4,0.44457,0.29116,0.94521,0.94592,0.80797,0.86143,0.76089,0.55749,0.35459,0.9779,0.00109,0.00109,0.00109
92,3766.9,0.44656,0.29624,0.95526,0.95499,0.80444,0.86575,0.76201,0.55078,0.34802,0.97676,0.000991,0.000991,0.000991
93,3805.16,0.44294,0.2902,0.94398,0.94489,0.81058,0.86726,0.7665,0.54704,0.3464,0.97771,0.000892,0.000892,0.000892
94,3844.35,0.43762,0.28727,0.94671,0.94724,0.81162,0.86811,0.76756,0.55333,0.34411,0.97882,0.000793,0.000793,0.000793
95,3883.93,0.42929,0.27404,0.93683,0.95022,0.81504,0.87118,0.77214,0.54565,0.33797,0.97486,0.000694,0.000694,0.000694
96,3923.31,0.42869,0.27191,0.94359,0.948,0.81748,0.87246,0.76993,0.55021,0.33642,0.97686,0.000595,0.000595,0.000595
97,3961.83,0.42494,0.27139,0.93149,0.95365,0.81387,0.87006,0.7687,0.54611,0.33528,0.97561,0.000496,0.000496,0.000496
98,4000.2,0.42763,0.27664,0.93501,0.95443,0.81446,0.87158,0.7704,0.54528,0.33326,0.97493,0.000397,0.000397,0.000397
99,4038.61,0.41906,0.26566,0.93193,0.95232,0.81687,0.87155,0.77206,0.54552,0.33233,0.97613,0.000298,0.000298,0.000298
100,4077.25,0.42031,0.26161,0.93855,0.95372,0.8158,0.87073,0.77275,0.54317,0.33095,0.97776,0.000199,0.000199,0.000199
